question_text,statement_1,statement_2,options,explanation,metadata,difficulty_level,difficulty_rating,estimated_time
What is the value of the fraction \( \frac{a}{b} \) if \( a \) is a certain number and \( b \) is twice that number?,The value of \( a \) is 6.,The value of \( b \) is 12.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": true}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": false}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","From Statement 1, if \( a = 6 \), then \( b = 2a = 12 \), which gives \( \frac{a}{b} = \frac{6}{12} = \frac{1}{2} \). Statement 2 alone gives \( b = 12 \) but does not provide any value for \( a \), making it insufficient by itself.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Fractions (DS)""}",Medium,3.5,120
What is the value of x if 0.5x = 2.5?,x is a positive integer.,x is a decimal number less than 10.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": true}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","From statement (1), we know x is a positive integer. Solving 0.5x = 2.5 gives x = 5, which is a positive integer. Statement (2) tells us that x is a decimal number less than 10, but does not provide a unique value. Together, they confirm that x = 5.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Decimals (DS)""}",Easy,2.5,75
Is the decimal representation of A greater than 0.75?,A = 0.8 + 0.3.,A = 1.1 - 0.4.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": true}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","From statement (1), A = 1.1, which is greater than 0.75. From statement (2), A = 0.7, which is not greater than 0.75. Both statements together confirm that A can take different values, but alone they do not provide a singular answer.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Decimals (DS)""}",Medium,3.0,120
What is the product of decimals A and B if A + B = 1.6?,A = 0.4 and B = 1.2.,A = 0.5 and B = 1.1.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": true}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": false}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","From statement (1), A = 0.4 and B = 1.2 gives a product of 0.48. From statement (2), A = 0.5 and B = 1.1 gives a product of 0.55. Only statement (1) provides a specific answer to the product.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Decimals (DS)""}",Hard,4.0,180
What is the value of x if x is a decimal number?,x is greater than 0.5.,x is less than 1.2.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": true}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Statement (1) indicates that x is greater than 0.5, and statement (2) indicates that x is less than 1.2. Together, these statements imply that x is in the range (0.5, 1.2), which does not uniquely define x, but provides bounds that make both statements necessary for understanding the range of possible values for x.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Decimals (DS)""}",Medium,3.5,120
What is the value of x if x is a fraction between 0 and 1?,x is greater than 1/4.,x is less than 3/4.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": true}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Combining both statements gives us the range 1/4 < x < 3/4. This range indicates that x can take on values within these limits, but does not uniquely define x. Therefore, both statements together are necessary to find a range for x, but they do not provide a specific value.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Fractions (DS)""}",Medium,3.0,120
"If x and y are two fractions, is x + y greater than 1?",x = 1/2.,y = 1/3.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": true}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","From Statement 1, we know x = 1/2. From Statement 2, y = 1/3, so x + y = 1/2 + 1/3 = 3/6 + 2/6 = 5/6, which is less than 1. Thus, both statements together provide sufficient information to answer the question.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Fractions (DS)""}",Medium,3.5,150
What is the product of the fractions a and b?,a = 2/5 and b = 3/4.,a + b = 1/2.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": true}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": false}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Statement 1 provides the values of a and b directly, allowing us to calculate the product (2/5) * (3/4) = 6/20 = 3/10. Statement 2 alone does not provide sufficient information to determine the exact values of a and b, thus it cannot be used to find the product.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Fractions (DS)""}",Hard,4.0,180
What is the value of x if x is a fraction?,x = 3/4 + 1/2,x = 1/4 of 12,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": true}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Statement (1) gives x = 3/4 + 1/2 = 3/4 + 2/4 = 5/4. Statement (2) gives x = 1/4 * 12 = 3. Therefore, both statements give different values for x, but together they confirm a specific range for x.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Fractions (DS)""}",Medium,3.5,120
What is the decimal representation of a certain fraction if the fraction is given as 5/8?,The decimal representation of 5/8 can be calculated as a simple division.,5 divided by 8 equals 0.625.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": true}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": false}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Statement (2) directly provides the decimal representation of the fraction 5/8, making it sufficient. Statement (1) describes how to find the decimal but does not provide the answer itself.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Decimals (DS)""}",Easy,2.0,60
"If x is a decimal number, what is the value of 3x?",x = 0.4.,x = 2.5.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": true}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": true}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": false}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": true}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Both statements provide specific values for x. Thus, both statements can independently be used to find the value of 3x.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Decimals (DS)""}",Medium,3.5,120
What is the total of two decimal numbers x and y?,x is 1.25 and y is 2.75.,The sum of x and y is less than 5.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": true}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": false}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Statement (1) provides the exact values of x and y, allowing for their sum to be calculated as 4. Statement (2) does not provide specific values for x and y, thus it is not sufficient on its own.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Decimals (DS)""}",Hard,4.5,180
