question_text,statement_1,statement_2,options,explanation,metadata,difficulty_level,difficulty_rating,estimated_time
What is the value of x if it is known that x is a fraction?,x = 2/3.,x is less than 1.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": true}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": false}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Statement (1) provides a specific value for x, which is sufficient to determine its value. Statement (2) only tells us that x is less than 1 but does not provide enough information to determine x's value uniquely.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Fractions (DS)""}",Medium,3.5,120
What is the value of the fraction 3/4 + 1/6?,The sum of 3/4 and 1/6 can be simplified to a common denominator.,3/4 is equal to 9/12 and 1/6 is equal to 2/12.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": true}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": false}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Statement (2) provides specific values for the fractions and shows that they can be added together, yielding a final value of 11/12. Statement (1) is too vague without specific values.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Fractions (DS)""}",Easy,2.0,90
"If x and y are positive fractions, what is the value of x + y?",x = 2/3 and y = 1/4.,x + y = 11/12.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": true}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": false}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Statement (1) gives specific values for x and y, allowing for direct calculation of x + y. Statement (2) alone does not provide the individual values of x and y.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Fractions (DS)""}",Medium,3.5,120
Is the fraction 5/8 greater than 1/2?,5/8 can be converted to a decimal value.,1/2 can be expressed as 4/8.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": true}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Statement (1) alone does not provide enough information to compare the two fractions. Statement (2) helps express 1/2 in terms of eighths, allowing comparison with 5/8. Together, both statements confirm that 5/8 is greater than 1/2.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Fractions (DS)""}",Hard,4.5,180
What is the value of the fraction x/y if x is half of y?,x = 1/2 * y.,y = 8.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": true}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Statement (1) tells us that x is half of y, while statement (2) gives the value of y. Together, we can find x as 4, which allows us to calculate x/y = (1/2 * 8) / 8 = 1/2. Thus, both statements together are sufficient.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Fractions (DS)""}",Medium,3.5,120
What fraction of a whole number is represented by 15 out of 60?,15 is a part of the whole number represented by the fraction.,The whole number is 60.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": true}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Both statements together confirm that 15 is part of the whole 60, allowing us to compute the fraction as 15/60, which equals 1/4. Therefore, both statements together are sufficient.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Fractions (DS)""}",Easy,2.5,90
"If x is a positive integer, what is the value of the fraction 3/x?",x is an even number greater than 2.,x is a multiple of 6.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": true}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Statement 1 alone does not specify x, while Statement 2 gives x a specific range (6, 12, etc.). Together, they confirm x must be at least 6, allowing us to analyze the fraction further. Thus, both statements together are sufficient.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Fractions (DS)""}",Medium,3.5,120
What is the value of the fraction 7/8 + 1/4?,The common denominator for both fractions is 8.,The sum of the two fractions can be simplified to a fraction with a numerator of 9.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": true}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": false}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Statement 1 tells us the common denominator but does not provide the sum. Statement 2 gives us the numerator of the simplified fraction, which indicates the sum is indeed 9/8. Thus, statement 2 alone is sufficient.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Fractions (DS)""}",Hard,4.5,180
What is the value of the fraction x/y if x and y are positive integers?,x is 3 times y.,y is 1 less than twice x.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": true}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","From Statement 1, we have x = 3y, which gives us x/y = 3. From Statement 2, y = 2x - 1, substituting x from Statement 1 gives us y = 2(3y) - 1, allowing us to solve for y. Therefore, combining both statements leads to a unique solution for x/y.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Fractions (DS)""}",Medium,3.5,120
What is the value of 0.75 + 0.25?,0.75 can be expressed as a fraction.,0.25 can be expressed as a fraction.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": false}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": true}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Both statements can help express the decimals as fractions, but knowing either one allows for the calculation of the sum, which is 1.00.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Decimals (DS)""}",Easy,2.0,60
"If x = 0.6 and y = 0.4, what is x + y?",x is 60% of some number.,y is 40% of the same number.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": true}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Individually, each statement does not provide the specific values of x and y needed to compute the sum. However, together they confirm that both x and y are defined in relation to the same number, allowing us to compute x + y = 1.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Decimals (DS)""}",Medium,3.5,120
Is the decimal 0.125 equal to 1/8?,0.125 can be expressed as a fraction.,1/8 can be converted to a decimal.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": false}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": true}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Both statements allow us to verify the equality of the decimal and the fraction, confirming that 0.125 is indeed equal to 1/8.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Decimals (DS)""}",Hard,4.5,180
